date,cpu,ram_gb,gpu,os,ollama_version,model,quantization,mode,warm_tokens_per_s,cold_seconds,memory_gb,gpu_share_pct,warm_runs,num_predict
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,llama3.2:3b,Q4_K_M,gpu,77.9,5.4,3.3,100,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,qwen2.5:7b-instruct,Q4_K_M,gpu,49.0,5.7,5.6,100,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,mistral:latest,Q4_K_M,gpu,57.8,18.6,5.8,100,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,llama3:8b-instruct-q4_0,Q4_0,gpu,50.3,16.6,5.8,100,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,hermes3:8b,Q4_0,gpu,49.9,7.8,5.8,100,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,qwen2.5-coder:14b,Q4_K_M,gpu,28.5,9.0,10.4,100,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,gpt-oss:20b,MXFP4,gpu,6.5,65.4,14.9,73,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,deepseek-coder:33b,Q4_0,gpu,2.7,110.6,21.1,53,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,hermes3:8b,Q4_0,cpu,5.7,43.6,5.0,0,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,qwen2.5-coder:14b,Q4_K_M,cpu,3.5,68.9,9.5,0,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,gpt-oss:20b,MXFP4,cpu,2.4,134.5,13.3,0,3,200
2026-09-24,"Intel Xeon E5-2665 (Sandy Bridge, 2012), 8 cores / 16 threads, AVX, no AVX2",62,"NVIDIA GeForce RTX 3060, 12 GB (driver 580.178.04); about 1.2 GB already in use by the desktop and a Stable Diffusion web UI","Ubuntu 24.04.5 LTS, kernel 6.8",0.11.4,deepseek-coder:33b,Q4_0,cpu,1.5,145.6,20.0,0,3,200
